start,end,video,utterance,state,transcript,translation
53.6755,120.21425,dev_050,utterance_002,development, yollarda böyle bağırıp çağırıyordu babam iletişim istedi herhalde babamın selamı istediğinizi silah oyunları istiyorum işte ambulansla geldim yarın Tabii mi biraz heyecanlıyım ne diyeceğimi bilemiyorum yarın boşuna basmıyorum Enter tuşuna basıyorum Farkeder buraya neden geldiniz anlatır mısınız Vallahi buraya öyle babamla mide geldik işte ya ambulansla getirdiler Buraya kendi isteğimle yaptım ama çok sinirliydim şimdi sabırlı oldum buraya tedavi olmaya gelmişim tedavimi olduğuna inanıyorum ben,my father wanted to communicate I would like to greet my father salvation I want to go to the ambulance here tomorrow I am a bit excited I do not know what to say I do not know what to do tomorrow I press the button I do not know why I come here Do you tell me why I came here Vallahi So here came my father with stomach and ambulance I did it but I was so nervous I am now patient I believe that treatment is coming to be treated here
120.51425,126.0865,dev_050,utterance_003,development, sensin gelecek olan sayfadaki resmi anlatır mısınız Zehra Düşündürdü ve yaptırdı,Will you tell me the picture on the page you are coming to Zehra Imagine and make it
126.3865,182.56925,dev_050,utterance_004,development, konuşurken şey yapıyor Ben çok eşimi görüyorum düşünürken babam görüyorum babam düşünüyor akşam babama sonra da kendi kendimi yedim diye bağırdım Ben babama diye böyle yani BUDO Eminönü delisi burada işte dedim ya başından beri söylüyorum seramiği eşimin erkek kardeşi mi yani herkesi görüyorum burada Eniştemi yani onlar da geceleri gündüze birbirine girmiş Annem geldi anneme yatma geliyorlar Şimdi daha iyi olduğunuzu yalnız biraz,I see a lot of my sister I see a lot of my dad I see my dad my dad thinks I dont wake up to my dad and then I take care of myself I like daddy I mean like this BUDO Eminonu is crazy here I said or have you been telling me since serami is my brother&#39;s brother I see everywhere here the daydream has entered each other Mom has come motherfucking now you are better now alone a little bit
182.86925,265.93475,dev_050,utterance_005,development, en son zarar verecek kişilerin olacağım nasıl öyle bir şey yaptığımı hiç bilmiyorum yani seni görünce heyecandan En kötü anım bu şu anda benim yanımda nasıl bir güvenlikçiye zarar vermeye çalıştı yani kötü bir anınızı hatırlar mısınız YouTube yok benim ya biz de burada kötü bir hanım burada oldu Buda eşim kıyafetlerimi getirirken varım kendine yazmış yazmış ama çok üzülüyorum olsaydı çok üzüldüm yani buradan çıkış istedim yani kendimde değildim bunu yaparken bilseydim şu andaki tanımı yoksa hastanede hiçbir tane olmadı biraz da bir soğuk hava deposuna atılmaya beni etkiledi kötü anılardan ve sabah ezanı konuşmuyorum,"I will be the last to harm people I do not know how I&#39;ve done it I&#39;m so excited to see you The worst moment I&#39;ve ever tried to hurt a security guard with me Do you remember your bad memories You do not have YouTube or a bad lady here Buddha I was writing to myself, but I was very upset when I was bringing my clothes, so I was very upset, so I wanted to get out of here, so I did not know myself when I was doing this, but there was no one in the hospital. I had a cold weather deposit."
266.23475,296.2570625,dev_050,utterance_006,development, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
296.55706250000014,302.0770625,dev_050,utterance_007,development, gelecek olan sayfadaki resmi anlatır mısınız size neler düşündürüyor,will you tell the picture on the next page what makes you think
302.3770625,365.055375,dev_050,utterance_008,development, kız başka da bir şey yok yaşamınızdaki en güzel onay anlatır mısınız yaşındaki en güzel Hanım Selami Ben Admin olarak üstü olur cahil olduğumuz anlatıyor Vallahi selamı ile Beni görüyorum bir sürü çocuk hasta olduğunu Hani beni ara da var tavuk Armine için bir yandan rahat köpeğimize renkli müzikleri ,"girl There is not nothing else The most beautiful check in your life Tell me the most beautiful lady of yours Selami I am an admin and you are ignorant I am telling you that I am an ignorant with Vallahi greetings I see a lot of children sick You can call me Hanbi Chicken Armine on one hand,"
365.355375,371.832,dev_050,utterance_009,development, , 
0.0,38.06825,dev_007,utterance_001,development, çok hareketli olduğundan dolayı iletişim uygun gördüler konuşuyorum buraya neden geldiniz anlatır mısın buraya rahatsızlığım olmasından dolayı,because it is very mobile communication is appropriate I&#39;m talking here why do you come here to tell me because I am uncomfortable
38.36825,45.3994375,dev_007,utterance_002,development, geleceğim ara hastanedeki resmi anlatır mısınız size neler düşündürmektedir,what will you tell me about the picture of the hospital in the future
45.6994375,58.5705,dev_007,utterance_003,development, varsa bana geldi işi Bazı hareketlerin de değişim olduğu için kendini düzeltmesi buraya yatacağım oğlum,if it comes to me Jobs Some movements change because I am going to fix it my son
58.8705,67.775875,dev_007,utterance_004,development, kötü bir hatıra anınızı anlatır mısınız şu an kötü bir hatıram olmadı,would you tell me a bad memory of memories is not a bad memory at the moment
68.075875,81.5169375,dev_007,utterance_005,development, güzel olsa hala sayarmısınız 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28,"If it is nice, do you still count 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28"
81.81693750000002,95.2203125,dev_007,utterance_006,development, 110 hafta kadar hızlı bir şekilde servis 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,Service as fast as 110 weeks 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
95.5203125,103.1978125,dev_007,utterance_007,development, geleceğim ararsan türküsü anlatır mısınız Sizinle düşünüyorsun,If I look for the future Will you tell the türküsü You think with you
103.4978125,115.4903125,dev_007,utterance_008,development, ilk gecesi Burası havada bir ailenin bir arada kazasında ara bir büyük bir mutluluk olduğunu gösteriyor,This is the first night This is a great happiness in the midst of an accident in the air
115.7903125,127.8581875,dev_007,utterance_009,development, yaşamınızdaki en güzel hatıranın anlatır mısınız aşamın en güzel hatıra İşlerin iyi olması Ailenle huzurlu mutlu bir şekilde geçirmek,Will you tell me the most beautiful memories of your life The most beautiful memories of my life Is the good of the works Spend a peaceful and happy life
128.1581875,132.12,dev_007,utterance_010,development, , 
0.0,6.551375,dev_011,utterance_001,development, , 
6.851375,24.4555625,dev_011,utterance_002,development, neden gelin bilebilirim ki buraya hiçbir sebep yok hiçbir sıkıntı olmadan dolayı Geldim abi ben işte bu yüzden onu getirdim,I can come to know why there is no reason there is no hardship because I came to my brother and that&#39;s why I brought him
24.7555625,35.0846875,dev_011,utterance_003,development, Ben düşürecek hiçbir şey düşünmüyorum,I do not think of anything to drop
35.3846875,45.648375,dev_011,utterance_004,development, orası 2 vatandaşın birazdan hissediyorum Pekpak sıkıntılar oldu,as soon as 2 citizens feel I was bored with troubles
45.948375,59.1885625,dev_011,utterance_005,development, kötü Bir hatırlatır mısın kötü bir atarım insanlara karşı Geldi geldi insanlardan Her zaman sırtında bulunmayan katı,bad A reminder that a bad throw against the people came From the people who always came back on the floor
59.4885625,68.739375,dev_011,utterance_006,development, İrem sakallı 12345678 o zaman dürüst olduktan sonra,After having been honest with the bearded beard 12345678 then
69.039375,80.3591875,dev_011,utterance_007,development, Söyle bileyim 12345678,Tell me 12345678
80.6591875,92.229375,dev_011,utterance_008,development, seni düşünecek bir şey hissetmedim gayet iyiyim Allah'a şükürler olsun,I have felt something to think of you I am very well thankful to God
92.529375,107.2280625,dev_011,utterance_009,development, Öpüşme nedir dersimiz sıcak yuva tertemiz güzel bir yuva,Kissing is a beautiful place to stay warm
107.5280625,121.2150625,dev_011,utterance_010,development, yaşadığınız hayatın boyunca kalbin bomboştu kimsenin tanışırız arkadaşım olmadı da iki üç gün önce bir tane doktora medeniyet alıştı bir iş adamının özledim kalbimi kırdın,"I have not met anyone who has been heartbreaking in my life, but my friend was not two or three days ago I got a doctor &#39;s civilization accustomed to a business man I missed my heart"
121.5150625,125.376,dev_011,utterance_011,development, , 
0.0,4.1876875,dev_049,utterance_001,development, İyi akşamlar,Good evening
4.4876875,6.9276875,dev_049,utterance_002,development, , 
7.2276875,14.927375,dev_049,utterance_003,development, iyileşmek için geldim Şu anda kendimi gayet iyi hissediyorum,I came to heal I feel fine now
15.227375,24.5990625,dev_049,utterance_004,development, buraya gelmeden önce galiba ondan daha kötüydü Şimdi kötü gözle bakıyorum acı acı bir durum,"Before I came here, I think it was worse than that. Now I look badly bitterly"
24.8990625,30.5808125,dev_049,utterance_005,development, Eda Hanım,Eda Hanim
30.8808125,52.9351875,dev_049,utterance_006,development, 50 yaşında dayak yediğini görmek babanın dayak yediğini görünen kötü önündeki anlat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Tell your father to be beaten to see you beaten at the age of 50 Tell the evil ahead 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
53.2351875,69.26650000000001,dev_049,utterance_007,development, 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 30, 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 30
69.5665,73.736625,dev_049,utterance_008,development, , 
74.036625,84.7283125,dev_049,utterance_009,development, çocukların da bu durumdan daha kalabalıktır babaanne dede Amcalar hep aynı evdeydik gelecekteki hayalim de yine aynı şekilde olması,children are also more crowded than this situation Grandma grandfather Uncle&#39;s always been in the same house and the future will be the same again
85.0283125,96.6553125,dev_049,utterance_010,development, , 
96.9553125,97.8,dev_049,utterance_011,development, , 
0.0,13.81625,train_034,utterance_001,train, Biz teşekkür ederiz,we thank you
14.11625,30.4864375,train_034,utterance_002,train, gönderdim kontrol ederim için geldim ama sonra ilaçlarımı aldığım için sağlık versin,"I sent it to check it out, but then I get my medicines"
30.7864375,39.6166875,train_034,utterance_003,train, Rezidans utanç üzüntü utansın,Residence shame utter sorrow
39.9166875,44.8714375,train_034,utterance_004,train, biraz anlatır mısınız,will you tell me a little
45.1714375,65.69856250000001,train_034,utterance_005,train, Mükerrem Star TV alacaktım Teşekkür almışsın çok üzülmüştüm koşa koşa eve geldim dişim kırılmıştı kötü bir hatıra benim için ne zaman sıkılırsa yalnız 12345678 iyi misiniz,Thanksgiving Star TV I would like to thank you very sadly when I came home I was broke in the heat a bad memory is boring for me when you are alone 12345678 are you ok
65.9985625,77.247375,train_034,utterance_006,train, , 
77.547375,82.373625,train_034,utterance_007,train, aile sıcak yulaf yaz fakirlik,family hot oats summer poverty
82.673625,97.3305,train_034,utterance_008,train, en güzel Hatıraları anlatır mısınız annemin yarın doğum günüm zaten annemin doğum günü,you will tell the most beautiful memories my mother is tomorrow birthday is already your mother&#39;s birthday
97.6305,102.50399999999999,train_034,utterance_009,train, teşekkürler,Thank you
0.0,96.65875,dev_027,utterance_001,development,  bu konuyu takılayım mı aynı yerimi şuraya mı Özür dilerim Bak şimdi dokunuyorum değil mi bu çalışmaya katılmayı kabul edilmiştir nasılsın seni de senin gibi bir insan karşısındakinin Nazmi dişlerini kapat geleyim ben lütfen her sayfada size ve,Is this the same place Is it the same place I&#39;m sorry I&#39;m touching now Is not it agreed to participate in this work How are you so against a person like you Close your nazmi teeth I am please every page
96.95875,113.5561875,dev_027,utterance_002,development, Ben size bir soru sorabilir miyim Bence buraya neden geldiğini hatırlar mısınız tedavi için bakayım etek alacağım,Can I ask you a question Do you think why you came here I&#39;ll take the skirt for treatment
113.8561875,125.722875,dev_027,utterance_003,development, gelecek olan sayfadaki size neler hissettirdi,what did you feel on the next page
126.022875,143.003875,dev_027,utterance_004,development, Bu kim biliyor musun o zaman Erenköy kız Lisesi'ni okuduğum zaman sanat tarihi hocamız Vasfi Bey Rodin düşünen adam heykeli Leonardo Da Vinci ne keser bakayım şimdi,"Who knows this, then when I read Erenköy Girls High School, my art history teacher Vasfi Bey Rodin thinks the man is sculpted Leonardo Da Vinci cuts what I see now"
143.303875,153.3453125,dev_027,utterance_005,development, kötü bir hayatınızı anlatır mısınız anlatayım mı eşimden Ayrıldığım gün ayın 10'unda,can you tell me a bad life is my narrative Is my wife 10
153.64531250000005,176.1735,dev_027,utterance_006,development, 1'den 30'a Kadar sayarmısınız sayım mı içer içerim sayım 1 Erken 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 28 29 30 1.35 şimdi,Count from 1 to 30 Count up Include count 1 Early 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 28 29 30 1.35 now
176.4735,185.22099999999998,dev_027,utterance_007,development, hastayım,hastayım
185.521,193.1895,dev_027,utterance_008,development, gelecek olan sayfadaki resmi hatırlar mısınız size neler düşündüğünü ve istediğini,"Remember the official picture on the coming page, what you think and what you want"
193.4895,213.703625,dev_027,utterance_009,development, Sokakta bir insan yatsana yapar en sevdiği Sadık dostum yavrusunu önce yatağına alırsın sonra da tavanda odasını alırım yorulma mışıl mışıl uyuyor,"A person on the street makes a lie, your favorite loyal friend takes her baby to bed first, then she takes the pan room and gets tired and exhausted"
214.003625,219.3658125,dev_027,utterance_010,development, yaşamınızdaki en güzel hatıramız anlatır mısınız Evlendiğin Gün,Will you tell me the most beautiful remembrance in your life
219.6658125,224.16,dev_027,utterance_011,development, Teşekkürler Ben teşekkür ederim,Thank you I thank you
0.0,0.98025,dev_010,utterance_001,development, Merhaba,Hello there
1.28025,3.3879375,dev_010,utterance_002,development, iyileşmek için geldim,I came to heal
3.6879375,8.150875000000001,dev_010,utterance_003,development, daha mutsuz karamsar,more unhappy pessimistic
8.450875,11.1696875,dev_010,utterance_004,development, , 
11.4696875,15.4580625,dev_010,utterance_005,development, , 
15.7580625,52.032,dev_010,utterance_006,development, çay içmek bitti adamın birine sormuşlar Tamam abi mutluluk,"drinking tea is finished, the man asked one of them ok brother happiness"
0.0,5.303,train_020,utterance_001,train, , 
5.603,21.7784375,train_020,utterance_002,train, kontrol amaçlı geldim hastaneden çıktım hastaneden çıkalı 3 ay oldu ilaçların düzenli bir şekilde kullanıyorum bir de dostlarımızla beraber yürüttüğümüz tez hakkında görüşmeleri devam ediyoruz,I came from the hospital for control purposes and the patient was out of the hospital for 3 months I use the drugs on a regular basis and we continue negotiations on the thesis we are conducting with our friends
22.0784375,27.0393125,train_020,utterance_003,train, , 
27.3393125,49.964375,train_020,utterance_004,train, yaşlı bir amca ve adlı bir baba düşünüyor kara kara düşünüyorum Acaba ay sonunu getirecek bir sıkıntı mı var Bir derdin mi var geçim sıkıntısı yaşayan bir adam diyelim,an elderly uncle and a father who thinks it is a black man Thinking it is a tribulation to bring the end of the month Is there a reason to say that a man living with a hardship of livelihood
50.264375,84.2841875,train_020,utterance_005,train, hastane yapmıştım 12 saat kalmıştı çok zor bir dönemdi kötü bir hatıram artık Güler'e pantolonunu Çünkü artık o anki kötü bir anda Çünkü çocukken akrep sokmuştu beni o çok kötü olmuştum Yani kalktığımda üzerinde gördüğümde çok içeri hissetmiştim 27 sokmuştu 1'de üzerindeydi kötü bir anı Normalde günlere kaldım O zaman ben artık buna bir şekilde veriyorum akrep sokması,I had made a hospital 12 hours was a very difficult period was a bad memory now Güler&#39;in pants because now that moment is a bad case Because the scorpion had become a child when I was so bad I felt so much inside when I saw it I was on 27 was on a bad moment Normally I stayed for days So I give it to you now scorpion sting
84.5841875,98.4019375,train_020,utterance_006,train, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
98.7019375,107.2288125,train_020,utterance_007,train, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30, 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
107.5288125,109.746875,train_020,utterance_008,train, , 
110.046875,129.66299999999998,train_020,utterance_009,train, Ben burada ne olursa olsun mutlu bir aile görüyorum yani durumları fazla yok orta derecede bir aile tabanlarından bile su damlıyor Hani o kadar kötü durumları var ama yine de beraber hepsinin yüzü gülüyor hepsinin yüzü gülüyor,"I see a happy family no matter what happens here, so there is not much in the middle, even a family is dripping from the water. Hani has such a bad situation, but they all laugh together and face each other laughing"
129.963,137.25725,train_020,utterance_010,train, yaşındaki en güzel hatıram düğününde düğün fotoğrafları düğün zamanı,Wedding photos at the most beautiful memorial wedding of the year
137.55725,142.536,train_020,utterance_011,train, , 
0.0,3.3205625,test_027,utterance_001,test, , 
3.6205625,18.712,test_027,utterance_002,test, Ata geçirdiğim için duy ailen tarafından getirilip yatırıldı ir sonucunda için Doktorların verdiği ilaçları kullanıyorum yinede daha iyiye gidiyorum İnşallah daha iyi olacak,"As I spend on horseback, I have been brought home by the family and I am using medications given by doctors for the end result."
19.012,23.1158125,test_027,utterance_003,test, gelecek olan Tayfur gerisini anlatır mısınız,Will you tell the truth about the coming Tayfur
23.4158125,37.008875,test_027,utterance_004,test, mutsuz bir adam yalnız üzgün kimsesi yok gibi hayattan bezmiş gibi başka ekleyeceğim bir şey yok aslında,an unhappy man alone There is no sad nobody There is nothing else to add like a hayato
37.308875,79.42,test_027,utterance_005,test, O da çok kötü bir hafta içerisinde kanseri olduğunu öğrendik beyin kanaması geçirip öldü o 5 yaşındaydı kötü bir anlatır mısınız çok üzülmüştü gittiğimde yerlerde Kalmıştı bir deri bir kemik kanseri Doktor edemeyiz dediler ilaç temizlediler ilaç verip ağrılarını azaltmak şu anda iyi onun kanser olduğunu öğrendiğim bir kötü bir hatıram yeğenimi kan kanserinden kaybettim dayımın oğlu,I learned that it was a cancer in a very bad week I had a brain hemorrhage and he was 5 years old I was so sad when I went to places I went to a skin cancer I had a skin cancer I could not do it I was cleaning up the medicine I was giving the medicine and reducing the pain It is a bad thing I learned that it is cancer son of my grandmother
79.72,102.8830625,test_027,utterance_006,test, Bir de bu kadar sayar mısınız 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Are you one of those number 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
103.1830625,116.8431875,test_027,utterance_007,test, 1'den 30'a kadar hızlı bir şekilde sayarmısınız 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30,Do you count as fast as 1 to 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
117.1431875,119.9331875,test_027,utterance_008,test, gelecek olan sayfadaki resmi anlatılması,picture on next page
120.2331875,145.53525,test_027,utterance_009,test, en sevdiğim resim anne baba Ortada çocuklar hep beraber mutlu bir şekilde uyumuyorlar PKK ile beraber çok güzel çok İnşallah dediğin gibi ben de Çocuklarımı ve eşimi yanıma aldım uyuyabilirim,"my favorite picture parents In the middle all the children are happy to sleep together very well with the PKK very Inshallah as you said I also my children and my wife,"
145.83525,195.29675,test_027,utterance_010,test, dünya çocuğu almaya çalışıyordu sürekli serumla yine de onu durdurmaya dediler hep durmadım zaman çok mutlu oldum Dokuz doğurmuş oldum Aslında o zaman İzmir'deki en güzel hatırımızı anlatır mısınız  yi geceler anne olduğum gün en güzel Adrian ondan daha güzel bir şey bin hatıra olamaz en güzel aynı olduğu gibi doğumdan çıkıp bebeğimi kucağıma verdiklerinde onu emzirdiğini Hissettim çok zor,"the world was trying to get the child I always tried to stop it with the sera I never stopped I was so happy I was born nine I think the most beautiful line in İzmir then you are the most beautiful day on my mother Adrian is more beautiful than it is not a thousand memories can not be the same As they are, they come out of the birthplace and give my baby a cuddle When they nurse it I feel It is very difficult"
195.59675,200.76,test_027,utterance_011,test, , 
0.0,10.748,train_052,utterance_001,train, , 
11.048,17.820999999999994,train_052,utterance_002,train, , 
18.121,29.75425,train_052,utterance_003,train, , 
30.05425,70.248,train_052,utterance_004,train, öldürecek Vallahi bilmiyorum Facebook Hazır mısınız buraya neden geldiniz istersen Araştırma Hastanesi Derince Araştırma Hastanesi Merve abla video yapmak için canım,I do not know Vallahi to kill Facebook Ready to come here Why do you want to be a Research Hospital Deep Research Hospital Merve sister to make video
0.0,15.3620625,train_019,utterance_001,train, bu çalışmaya katılmayı kabul ettiğin için teşekkür ederiz Ben de teşekkür ederim Her sayfada sizi verilecek görevleri tamamladıktan sonra Boşluk tuşuna basınız,Thank you for agreeing to participate in this work I thank you Every time you complete the tasks you will be given press spacebar key
15.6620625,62.631125,train_019,utterance_002,train, İnandığım O sadece benim için bir vesveseye diye onun için çok mutluyum Eşimin beni aldatması için ve şu anda çok da iyiyim Daha da iyi olmak istiyorum bu kadar buraya neden geldiğinizi anlatırmısınız buraya trafik kazası geçirdin konuşmada zorlanıyordu çiçek ağrıyordu Ondan dolayı çok rahatsızım ve olmayan şeyleri oluyormuş gibi gözümün önüne canlanıyor de eşimin Affedersin doktorla ilişkiye girdi zannediyor ama Gerçekte kafamı topraktan Söyle bir şey olmadığını anladım Şu anda anladığım için çok mutluyum Eşim beni kesinlikle aldatmacalı kesin,"I believe I&#39;m just too happy for her to make a wish for me To make my deceiver cheat me and now I&#39;m so good I want to be even better So why do you tell me why you came here I had a traffic accident here I was having a hard time talking about flowers I was having pain, I think that my partner Affedersin entered the relationship with the doctor but in reality my head from the ground tell me something is not happening I am very happy to understand that now my wife is definitely deceiving me"
62.931125,68.8874375,train_019,utterance_003,train, gelecek olan sayfadaki resmi anlatır mısınız size neler düşünürdü hissettim ve hissettirdi,would you tell me the picture on the next page what did you feel and felt
